Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CFTR		1	1	15	6.7%	No
UNC80		1	1	15	6.7%	No
TRIM37		1	1	15	6.7%	No
STAT2		1	1	15	6.7%	Yes
ERAS		1	1	15	6.7%	No
HRAS		1	1	15	6.7%	Yes
THSD7A		1	1	15	6.7%	No
UNC13C		1	1	15	6.7%	No
SYNGR4		1	1	15	6.7%	No
ANKLE1		1	1	15	6.7%	No
CERCAM		1	1	15	6.7%	No
FHIP1B		1	1	15	6.7%	No
MUC6		1	1	15	6.7%	No
MUC7		1	1	15	6.7%	No
RNF40		1	1	15	6.7%	No
MAN2A2		1	1	15	6.7%	No
BNIP1		1	1	15	6.7%	No
FAM47C		1	1	15	6.7%	No
BNIP2		1	1	15	6.7%	No
ADGRV1		2	2	15	13.3%	No
DST		2	2	15	13.3%	No
STAT5B		1	1	15	6.7%	Yes
ZNF75D		2	2	15	13.3%	No
CPXCR1		1	1	15	6.7%	No
OR2T6		1	1	15	6.7%	No
SPHK2		1	1	15	6.7%	No
PGBD4		1	1	15	6.7%	No
ACAP2		1	1	15	6.7%	No
MAP1A		2	1	15	6.7%	No
RB1CC1		2	1	15	6.7%	No
CSMD1		3	3	15	20.0%	No
CUL7		1	1	15	6.7%	No
KAT6B		1	1	15	6.7%	Yes
SRRM2		1	1	15	6.7%	No
PRG4		1	1	15	6.7%	No
FHIP2A		1	1	15	6.7%	No
BRCA2		3	2	15	13.3%	Yes
CPED1		1	1	15	6.7%	No
ZFP36L2		1	1	15	6.7%	No
SATB1		1	1	15	6.7%	No
MAOA		1	1	15	6.7%	No
TOPORS		1	1	15	6.7%	No
MSMO1		1	1	15	6.7%	No
WDFY4		2	2	15	13.3%	No
ZNF530		1	1	15	6.7%	No
PPEF1		1	1	15	6.7%	No
SCN1B		1	1	15	6.7%	No
SCN1A		1	1	15	6.7%	No
GLYATL3		1	1	15	6.7%	No
PRAME		1	1	15	6.7%	No
BSG		1	1	15	6.7%	No
KIAA1614		1	1	15	6.7%	No
INSYN2A		1	1	15	6.7%	No
MFSD10		1	1	15	6.7%	No
LRP1B		2	2	15	13.3%	Yes
BTC		1	1	15	6.7%	No
TUBD1		1	1	15	6.7%	No
CRYBG1		1	1	15	6.7%	No
MAML3		3	3	15	20.0%	No
ANO8		1	1	15	6.7%	No
C3ORF20		1	1	15	6.7%	No
SHC3		1	1	15	6.7%	No
SERPINB4		1	1	15	6.7%	Yes
ARHGEF17		1	1	15	6.7%	No
ADCY4		1	1	15	6.7%	No
GAL3ST3		1	1	15	6.7%	No
CFAP47		2	2	15	13.3%	No
ORC4		1	1	15	6.7%	No
WDR53		1	1	15	6.7%	No
KALRN		2	2	15	13.3%	No
TREM1		1	1	15	6.7%	No
IGDCC4		1	1	15	6.7%	No
IL17RB		1	1	15	6.7%	No
MATN2		1	1	15	6.7%	No
PPIA		1	1	15	6.7%	No
SCN4A		1	1	15	6.7%	No
NAV3		1	1	15	6.7%	No
NCOA5		1	1	15	6.7%	No
ERICH2		2	2	15	13.3%	No
WNT3A		1	1	15	6.7%	No
SCP2		1	1	15	6.7%	No
PPOX		1	1	15	6.7%	No
NUP188		2	2	15	13.3%	No
SUZ12		1	1	15	6.7%	Yes
ZFYVE28		1	1	15	6.7%	No
UGGT1		1	1	15	6.7%	No
USPL1		1	1	15	6.7%	No
PATJ		1	1	15	6.7%	No
TMPRSS5		1	1	15	6.7%	No
KLK15		1	1	15	6.7%	No
SVEP1		2	2	15	13.3%	No
ISM1		1	1	15	6.7%	No
SCNN1B		1	1	15	6.7%	No
PLXNA3		1	1	15	6.7%	No
ASB10		2	1	15	6.7%	No
MKRN3		1	1	15	6.7%	No
MED24		2	2	15	13.3%	No
TRH		1	1	15	6.7%	No
MCM7		1	1	15	6.7%	No
TRIO		2	2	15	13.3%	No
TRIM71		1	1	15	6.7%	No
FERD3L		1	1	15	6.7%	No
PARD3B		3	3	15	20.0%	No
DOT1L		1	1	15	6.7%	Yes
OR4X2		1	1	15	6.7%	No
OVGP1		1	1	15	6.7%	No
DGKD		1	1	15	6.7%	No
MAML2		6	6	15	40.0%	Yes
FRMPD3		1	1	15	6.7%	No
RALYL		1	1	15	6.7%	No
ADGRG4		1	1	15	6.7%	No
P2RY11		1	1	15	6.7%	No
AREL1		1	1	15	6.7%	No
GRK7		1	1	15	6.7%	No
ALG12		1	1	15	6.7%	No
NCOA6		1	1	15	6.7%	No
ALPL		1	1	15	6.7%	No
ADGRA1		1	1	15	6.7%	No
SETDB1		1	1	15	6.7%	Yes
TRIOBP		2	2	15	13.3%	No
ADAMTS20		1	1	15	6.7%	No
KIF18B		1	1	15	6.7%	No
PABPC3		2	2	15	13.3%	No
FURIN		1	1	15	6.7%	Yes
TUT1		1	1	15	6.7%	No
USP46		1	1	15	6.7%	No
ASB18		1	1	15	6.7%	No
MYO16		2	2	15	13.3%	No
PLEKHG2		1	1	15	6.7%	No
BCLAF3		1	1	15	6.7%	No
MEGF10		2	2	15	13.3%	No
LGR5		1	1	15	6.7%	No
MPHOSPH9		1	1	15	6.7%	No
EEF1A2		1	1	15	6.7%	No
SLX4		1	1	15	6.7%	Yes
THOC5		1	1	15	6.7%	No
SERPINB2		1	1	15	6.7%	No
TJP2		1	1	15	6.7%	No
FIG4		1	1	15	6.7%	No
FSIP2		1	1	15	6.7%	No
PDZD2		2	2	15	13.3%	No
WDTC1		1	1	15	6.7%	No
PRR14L		1	1	15	6.7%	No
USP33		1	1	15	6.7%	No
FBF1		1	1	15	6.7%	No
MAP3K21		1	1	15	6.7%	No
APOBR		1	1	15	6.7%	No
RILPL2		1	1	15	6.7%	No
ZRANB2		1	1	15	6.7%	No
PAK3		1	1	15	6.7%	Yes
PAM		1	1	15	6.7%	No
CASK		1	1	15	6.7%	No
CNTN3		1	1	15	6.7%	No
IDNK		1	1	15	6.7%	No
RAB35		2	2	15	13.3%	Yes
CHIC2		1	1	15	6.7%	Yes
AMPD3		1	1	15	6.7%	No
AMPH		1	1	15	6.7%	No
HDAC7		1	1	15	6.7%	Yes
ARMCX3		1	1	15	6.7%	No
TMPRSS13		1	1	15	6.7%	No
SPEN		1	1	15	6.7%	Yes
MACF1		1	1	15	6.7%	No
AGO1		1	1	15	6.7%	Yes
EXOSC7		1	1	15	6.7%	No
ANK2		1	1	15	6.7%	No
ANK3		2	2	15	13.3%	No
MYO5C		1	1	15	6.7%	No
TSC2		1	1	15	6.7%	Yes
ADAP1		2	2	15	13.3%	No
SERP2		1	1	15	6.7%	Yes
QKI		1	1	15	6.7%	Yes
ZNF285		2	1	15	6.7%	No
ANPEP		1	1	15	6.7%	No
TTC23L		1	1	15	6.7%	No
CBX6		1	1	15	6.7%	No
MAMDC2		1	1	15	6.7%	No
AZIN1		2	2	15	13.3%	No
STK32C		1	1	15	6.7%	No
CEBPZ		1	1	15	6.7%	No
ATAD5		1	1	15	6.7%	No
AASS		2	2	15	13.3%	No
SHISAL1		1	1	15	6.7%	No
EGFR		1	1	15	6.7%	Yes
RDH11		1	1	15	6.7%	No
FARP1		1	1	15	6.7%	No
INF2		1	1	15	6.7%	No
QPRT		1	1	15	6.7%	No
EIF2AK3		2	2	15	13.3%	No
TTN		2	2	15	13.3%	No
EIF1AX		1	1	15	6.7%	Yes
SRRT		1	1	15	6.7%	No
NBAS		1	1	15	6.7%	No
VSIG10		1	1	15	6.7%	No
TRAPPC12		1	1	15	6.7%	No
LIN37		1	1	15	6.7%	No
EPHA2		1	1	15	6.7%	No
ZNF197		1	1	15	6.7%	No
GP2		1	1	15	6.7%	No
L3MBTL4		1	1	15	6.7%	No
C1QL2		1	1	15	6.7%	No
PCNX2		2	2	15	13.3%	No
REG4		1	1	15	6.7%	No
EIF4A1		1	1	15	6.7%	No
ZNF337		1	1	15	6.7%	No
C10ORF88		1	1	15	6.7%	No
GGCT		1	1	15	6.7%	No
TYK2		1	1	15	6.7%	Yes
KIAA0825		1	1	15	6.7%	No
AKAP6		2	1	15	6.7%	No
CRYBG2		1	1	15	6.7%	No
ZBTB41		3	3	15	20.0%	No
GPATCH3		2	2	15	13.3%	No
CUEDC2		1	1	15	6.7%	No
ADTRP		1	1	15	6.7%	No
METRN		1	1	15	6.7%	No
CNPPD1		2	1	15	6.7%	No
IGFN1		2	2	15	13.3%	No
CBLL2		1	1	15	6.7%	No
PGS1		1	1	15	6.7%	No
CHTF18		1	1	15	6.7%	No
ZCWPW1		3	2	15	13.3%	No
TMEM248		1	1	15	6.7%	No
ENOX1		1	1	15	6.7%	No
PRSS54		1	1	15	6.7%	No
EXOC4		2	2	15	13.3%	No
FBXL18		1	1	15	6.7%	No
NANOGNB		2	2	15	13.3%	No
HAUS8		1	1	15	6.7%	No
CPNE4		1	1	15	6.7%	No
SLC4A7		1	1	15	6.7%	No
PSMF1		1	1	15	6.7%	No
PHF19		1	1	15	6.7%	No
KLHL13		2	2	15	13.3%	No
UACA		1	1	15	6.7%	No
COIL		1	1	15	6.7%	No
TTLL3		1	1	15	6.7%	No
DACH2		1	1	15	6.7%	No
CHCHD1		1	1	15	6.7%	No
PHC3		1	1	15	6.7%	No
AHNAK		3	3	15	20.0%	No
ITPR1		2	2	15	13.3%	No
NAA25		1	1	15	6.7%	No
ZBTB8A		1	1	15	6.7%	No
TANC2		1	1	15	6.7%	No
TRPM8		1	1	15	6.7%	No
FFAR2		1	1	15	6.7%	No
PPRC1		1	1	15	6.7%	No
ERC1		1	1	15	6.7%	Yes
EXPH5		1	1	15	6.7%	No
SYT9		1	1	15	6.7%	No
MYO1H		1	1	15	6.7%	No
SEMA5A		2	2	15	13.3%	No
MED9		1	1	15	6.7%	No
SNX29		1	1	15	6.7%	Yes
GPX2		1	1	15	6.7%	No
CSRNP3		2	2	15	13.3%	No
CYP1A2		1	1	15	6.7%	No
SECISBP2		1	1	15	6.7%	No
KRTAP10-11		1	1	15	6.7%	No
CDK19		1	1	15	6.7%	No
PARP10		2	2	15	13.3%	No
JARID2		1	1	15	6.7%	Yes
PLB1		2	2	15	13.3%	No
ZNF423		1	1	15	6.7%	No
ZC3H13		1	1	15	6.7%	No
FASTKD3		1	1	15	6.7%	No
MYEOV		2	2	15	13.3%	No
TMEM109		1	1	15	6.7%	No
SAMD12		1	1	15	6.7%	No
HTRA2		1	1	15	6.7%	No
CLSPN		1	1	15	6.7%	No
RAPGEF1		1	1	15	6.7%	No
TBC1D9B		1	1	15	6.7%	No
GGA2		1	1	15	6.7%	No
CAND2		1	1	15	6.7%	No
RARA		1	1	15	6.7%	Yes
SPACA9		1	1	15	6.7%	No
RTF2		1	1	15	6.7%	No
SLC7A6		1	1	15	6.7%	No
EML4		1	1	15	6.7%	Yes
NEUROD6		1	1	15	6.7%	No
RBIS		1	1	15	6.7%	No
PRDM16		1	1	15	6.7%	Yes
PRDM14		1	1	15	6.7%	Yes
ATG9A		1	1	15	6.7%	No
GRIK1		1	1	15	6.7%	No
LDLRAD3		1	1	15	6.7%	No
CKAP2		1	1	15	6.7%	No
MAT2B		1	1	15	6.7%	No
GRIA4		1	1	15	6.7%	No
MYCBP2		1	1	15	6.7%	No
FBH1		1	1	15	6.7%	No
KCNB1		1	1	15	6.7%	No
DTL		1	1	15	6.7%	No
MRGPRX4		1	1	15	6.7%	No
RB1		2	1	15	6.7%	Yes
ANGPTL1		1	1	15	6.7%	No
KCNJ3		1	1	15	6.7%	No
KCNJ4		1	1	15	6.7%	No
CYP11A1		1	1	15	6.7%	No
MYBPC3		1	1	15	6.7%	No
HECTD3		1	1	15	6.7%	No
MX2		1	1	15	6.7%	No
RBL1		1	1	15	6.7%	No
MYBPC1		1	1	15	6.7%	No
FRMD4A		2	2	15	13.3%	No
PACS1		1	1	15	6.7%	No
CHD3		2	2	15	13.3%	No
ROGDI		1	1	15	6.7%	No
RBP3		1	1	15	6.7%	No
IQGAP2		1	1	15	6.7%	No
CHD1		1	1	15	6.7%	No
ZNF267		1	1	15	6.7%	No
FANCI		1	1	15	6.7%	No
P3H2		1	1	15	6.7%	No
RADIL		1	1	15	6.7%	No
C19ORF54		1	1	15	6.7%	No
EXD2		1	1	15	6.7%	No
CHD4		2	2	15	13.3%	Yes
LRRC34		1	1	15	6.7%	No
MYH11		1	1	15	6.7%	Yes
FRK		1	1	15	6.7%	No
ZNF749		1	1	15	6.7%	No
DNAI3		1	1	15	6.7%	No
PRUNE2		2	2	15	13.3%	No
MYH3		1	1	15	6.7%	No
CHKA		1	1	15	6.7%	No
CAPN9		1	1	15	6.7%	No
CCM2L		1	1	15	6.7%	No
GAB3		1	1	15	6.7%	No
TMEM259		1	1	15	6.7%	No
CHRM4		1	1	15	6.7%	No
OR10P1		1	1	15	6.7%	No
USP6		1	1	15	6.7%	Yes
USP40		1	1	15	6.7%	No
TBX18		1	1	15	6.7%	No
HCAR1		1	1	15	6.7%	No
CHN2		1	1	15	6.7%	No
VRTN		2	1	15	6.7%	No
OR7G1		1	1	15	6.7%	No
KCNQ2		1	1	15	6.7%	No
KCNQ3		1	1	15	6.7%	No
STXBP2		1	1	15	6.7%	No
HECTD4		2	2	15	13.3%	No
MYLK		1	1	15	6.7%	No
TVP23A		1	1	15	6.7%	No
MYO9B		2	2	15	13.3%	No
HSP90AA1		1	1	15	6.7%	Yes
OR4N5		1	1	15	6.7%	No
SALL3		1	1	15	6.7%	No
TOGARAM2		2	2	15	13.3%	No
BCDIN3D		1	1	15	6.7%	No
IYD		1	1	15	6.7%	No
KIF3C		1	1	15	6.7%	No
MYO7A		2	2	15	13.3%	No
GPATCH11		1	1	15	6.7%	No
MYO7B		1	1	15	6.7%	No
MYO9A		2	2	15	13.3%	No
RAPH1		1	1	15	6.7%	No
KIF4B		1	1	15	6.7%	No
OR11H4		1	1	15	6.7%	No
C1ORF226		1	1	15	6.7%	No
ADI1		2	2	15	13.3%	No
CHUK		1	1	15	6.7%	No
DNAI7		1	1	15	6.7%	No
MRGBP		1	1	15	6.7%	No
RFC5		1	1	15	6.7%	No
RFX1		1	1	15	6.7%	No
C6		2	2	15	13.3%	No
PPP1R3A		1	1	15	6.7%	No
USP51		1	1	15	6.7%	No
MED22		1	1	15	6.7%	No
EMC10		1	1	15	6.7%	No
EMD		1	1	15	6.7%	No
STK36		1	1	15	6.7%	No
CFAP43		1	1	15	6.7%	No
EML1		1	1	15	6.7%	No
RAB11FIP1		1	1	15	6.7%	No
DNAJC4		1	1	15	6.7%	No
BIRC6		1	1	15	6.7%	No
FAM184B		1	1	15	6.7%	No
PCDHGA4		1	1	15	6.7%	No
C8A		1	1	15	6.7%	No
FSHB		1	1	15	6.7%	No
NRG3		4	4	15	26.7%	No
AP4B1		2	2	15	13.3%	No
PCDHGA1		1	1	15	6.7%	No
SYT4		1	1	15	6.7%	No
AP1S1		1	1	15	6.7%	No
OSBPL1A		1	1	15	6.7%	No
TMEM100		1	1	15	6.7%	No
ZBTB17		1	1	15	6.7%	No
PCDHB10		1	1	15	6.7%	No
GDPD5		1	1	15	6.7%	No
AXDND1		2	2	15	13.3%	No
FGGY		1	1	15	6.7%	No
FBXO38		1	1	15	6.7%	No
CPAMD8		1	1	15	6.7%	No
PCDHB8		1	1	15	6.7%	No
PCDHB13		1	1	15	6.7%	No
OSCP1		1	1	15	6.7%	No
CCDC157		1	1	15	6.7%	No
PCDHB11		1	1	15	6.7%	No
ZNF142		2	1	15	6.7%	No
SYN1		1	1	15	6.7%	No
MIDN		1	1	15	6.7%	No
NCL		1	1	15	6.7%	No
PRB1		1	1	15	6.7%	No
SEMA3A		1	1	15	6.7%	No
KLF14		1	1	15	6.7%	No
HTR6		1	1	15	6.7%	No
CLEC12A		1	1	15	6.7%	No
HTR4		1	1	15	6.7%	No
SIGLEC12		1	1	15	6.7%	No
KLHL6		2	2	15	13.3%	Yes
NCBP1		1	1	15	6.7%	No
TACR2		1	1	15	6.7%	No
CARMIL1		1	1	15	6.7%	No
ZNF280C		1	1	15	6.7%	No
KIAA1109		2	2	15	13.3%	No
CA10		1	1	15	6.7%	No
NBEAL2		1	1	15	6.7%	No
SRGN		1	1	15	6.7%	No
EPHA5		1	1	15	6.7%	Yes
C14ORF39		1	1	15	6.7%	No
EPHA1		2	2	15	13.3%	No
ZFR2		1	1	15	6.7%	No
DENND4B		1	1	15	6.7%	No
EPB41L1		1	1	15	6.7%	No
KLHL21		1	1	15	6.7%	No
XAB2		1	1	15	6.7%	No
RNF139		1	1	15	6.7%	No
DOCK10		1	1	15	6.7%	No
EMSY		2	2	15	13.3%	Yes
SGSM2		1	1	15	6.7%	No
ANKRD33B		1	1	15	6.7%	No
CHD6		1	1	15	6.7%	No
TARBP1		1	1	15	6.7%	No
ZNF831		1	1	15	6.7%	No
NDST4		1	1	15	6.7%	No
MOSMO		1	1	15	6.7%	No
EPHB6		2	2	15	13.3%	No
SEC16A		1	1	15	6.7%	No
AMER3		1	1	15	6.7%	No
CACNA1B		3	3	15	20.0%	No
CACNA1C		1	1	15	6.7%	No
ZC3H18		2	2	15	13.3%	No
EPHA8		1	1	15	6.7%	No
STAP2		1	1	15	6.7%	No
CACNA1S		1	1	15	6.7%	No
PIPOX		2	2	15	13.3%	No
SMYD1		1	1	15	6.7%	No
CCAR2		1	1	15	6.7%	No
ZNF726		1	1	15	6.7%	No
NPM2		1	1	15	6.7%	No
ERCC1		2	2	15	13.3%	No
TTC32		2	2	15	13.3%	No
SH3BP4		1	1	15	6.7%	No
FAM149A		1	1	15	6.7%	No
TFDP3		1	1	15	6.7%	No
EPS15		1	1	15	6.7%	Yes
SHD		1	1	15	6.7%	No
PRKACA		1	1	15	6.7%	Yes
IQSEC1		1	1	15	6.7%	No
PLPBP		1	1	15	6.7%	No
SET		1	1	15	6.7%	Yes
AKAP13		3	2	15	13.3%	No
PCDH8		1	1	15	6.7%	No
PCDH9		1	1	15	6.7%	No
ZNF215		1	1	15	6.7%	No
DLEC1		1	1	15	6.7%	No
PRKD1		1	1	15	6.7%	Yes
C3ORF38		1	1	15	6.7%	No
OR4Q3		1	1	15	6.7%	No
NID2		1	1	15	6.7%	No
DUS1L		1	1	15	6.7%	No
TET2		1	1	15	6.7%	Yes
EDC4		1	1	15	6.7%	No
LAMB4		1	1	15	6.7%	No
PPP1R15A		1	1	15	6.7%	No
BFAR		1	1	15	6.7%	No
ANXA11		1	1	15	6.7%	No
ANXA13		1	1	15	6.7%	No
OSGEP		1	1	15	6.7%	No
TRPM4		1	1	15	6.7%	No
TANGO6		2	2	15	13.3%	No
SLC25A12		1	1	15	6.7%	No
PRKCA		1	1	15	6.7%	No
FAM193A		5	3	15	20.0%	No
LYAR		1	1	15	6.7%	No
PRDM9		1	1	15	6.7%	No
RAB26		1	1	15	6.7%	No
ADGRL4		1	1	15	6.7%	No
LUZP2		1	1	15	6.7%	No
TRIML1		1	1	15	6.7%	No
ABCA10		1	1	15	6.7%	No
PCDH12		1	1	15	6.7%	No
RASGEF1C		1	1	15	6.7%	No
APBA1		1	1	15	6.7%	No
APBA2		1	1	15	6.7%	No
INTS8		1	1	15	6.7%	No
PRDM10		1	1	15	6.7%	No
APC		3	3	15	20.0%	Yes
BPIFA1		1	1	15	6.7%	No
PRDM11		1	1	15	6.7%	No
FAM118B		1	1	15	6.7%	No
ZNF225		1	1	15	6.7%	No
CADPS		2	1	15	6.7%	No
XYLT2		1	1	15	6.7%	No
DNAH17		1	1	15	6.7%	No
ZNF814		2	2	15	13.3%	No
LINC02903		1	1	15	6.7%	No
BCL6B		1	1	15	6.7%	No
SLC12A9		1	1	15	6.7%	No
BIRC5		1	1	15	6.7%	No
COQ8A		1	1	15	6.7%	No
FAM184A		1	1	15	6.7%	No
CDC37L1		1	1	15	6.7%	No
APOB		1	1	15	6.7%	No
RTN3		1	1	15	6.7%	No
MCFD2		2	2	15	13.3%	No
CCDC148		1	1	15	6.7%	No
DCHS1		4	3	15	20.0%	No
AHNAK2		2	2	15	13.3%	No
TMEM184A		1	1	15	6.7%	No
ZSCAN29		1	1	15	6.7%	No
SPRED2		1	1	15	6.7%	No
TTBK2		1	1	15	6.7%	No
NBPF1		1	1	15	6.7%	No
SH3TC2		1	1	15	6.7%	No
PDE3B		1	1	15	6.7%	No
WDR6		1	1	15	6.7%	No
PDE4A		3	2	15	13.3%	No
PDE4D		1	1	15	6.7%	No
PDE6A		1	1	15	6.7%	No
XIRP2		2	2	15	13.3%	No
PCDHGC5		1	1	15	6.7%	No
UBTD2		1	1	15	6.7%	No
OR2A25		1	1	15	6.7%	No
MLF1		1	1	15	6.7%	Yes
NUP205		1	1	15	6.7%	No
PDE1C		1	1	15	6.7%	No
NCOA1		2	2	15	13.3%	Yes
PDE2A		1	1	15	6.7%	No
PRDM2		1	1	15	6.7%	No
PKP3		1	1	15	6.7%	No
CHRD		1	1	15	6.7%	No
NIBAN3		1	1	15	6.7%	No
CCDC110		2	2	15	13.3%	No
CEP250		1	1	15	6.7%	No
PTBP3		1	1	15	6.7%	No
RGS7		1	1	15	6.7%	No
RGS13		1	1	15	6.7%	No
AARS1		1	1	15	6.7%	No
OR4E2		1	1	15	6.7%	No
LRRIQ3		1	1	15	6.7%	No
ALDH4A1		1	1	15	6.7%	No
ADAMTS4		1	1	15	6.7%	No
SUPT16H		1	1	15	6.7%	No
TNKS		2	1	15	6.7%	No
PPP4R1		2	1	15	6.7%	No
PARD6G		1	1	15	6.7%	No
ABCA3		2	2	15	13.3%	No
NPEPPS		1	1	15	6.7%	No
ABCA4		2	2	15	13.3%	No
SLC4A4		2	2	15	13.3%	No
EIF4G3		1	1	15	6.7%	No
BECN1		2	2	15	13.3%	No
ZC3H3		1	1	15	6.7%	No
RICTOR		1	1	15	6.7%	Yes
NACAD		1	1	15	6.7%	No
ARF1		1	1	15	6.7%	No
QRFPR		1	1	15	6.7%	No
ZFR		2	2	15	13.3%	No
LRCH1		2	2	15	13.3%	No
ASB1		1	1	15	6.7%	No
GDF15		1	1	15	6.7%	No
WDHD1		2	2	15	13.3%	No
UCP2		1	1	15	6.7%	No
SERPINF1		1	1	15	6.7%	No
CAMSAP1		2	2	15	13.3%	No
ACAT2		1	1	15	6.7%	No
ZNF254		1	1	15	6.7%	No
CLCC1		1	1	15	6.7%	No
FRMD4B		1	1	15	6.7%	No
ARHGAP35		1	1	15	6.7%	Yes
TTLL10		1	1	15	6.7%	No
CAMTA2		1	1	15	6.7%	No
TRIM67		1	1	15	6.7%	No
JRKL		2	2	15	13.3%	No
FGD4		1	1	15	6.7%	No
LRRIQ1		1	1	15	6.7%	No
APC2		1	1	15	6.7%	No
CNGB3		1	1	15	6.7%	No
GRIN2D		1	1	15	6.7%	No
GLMN		1	1	15	6.7%	No
EI24		1	1	15	6.7%	No
GRIN2B		2	2	15	13.3%	No
DUSP13		1	1	15	6.7%	No
THAP8		1	1	15	6.7%	No
GRIN2A		1	1	15	6.7%	Yes
HHLA3		1	1	15	6.7%	No
GP6		1	1	15	6.7%	No
AMIGO3		1	1	15	6.7%	No
ACP2		1	1	15	6.7%	No
GRIN1		1	1	15	6.7%	No
GRIK5		1	1	15	6.7%	No
RBFOX1		1	1	15	6.7%	No
